include,xmltv_id,raw_name,provider,confidence,score,matched_db_name,grab_site,grab_site_id
yes,Colors.in@SD,COLORS [BENGALI],sktech,auto,100.0,Colors,dishtv.in,158144
yes,Colors.in@SD,COLORS FHD [IN],sktech,auto,100.0,Colors,dishtv.in,158144
yes,Colors.in@SD,COLORS FHD [IN-UK],sktech,auto,100.0,Colors,dishtv.in,158144
yes,Colors.in@SD,COLORS HD [IN-UK],sktech,auto,100.0,Colors,dishtv.in,158144
yes,Colors.in@SD,COLORS [IN-UK],sktech,auto,100.0,Colors,dishtv.in,158144
yes,ColorsBangla.in@SD,Colors Bangla HD,meowfy,auto,100.0,Colors Bangla,dishtv.in,157577
yes,ColorsBangla.in@SD,Colors Bangla SD,meowfy,auto,100.0,Colors Bangla,dishtv.in,157577
yes,ColorsBangla.in@SD,COLORS BANGLA [IN-UK],sktech,auto,100.0,Colors Bangla,dishtv.in,157577
yes,ColorsBanglaCinema.in@SD,Colors Bangla Cinema,meowfy,auto,100.0,Colors Bangla Cinema,dishtv.in,142748
yes,ColorsCineplex.in@SD,Colors Cineplex,meowfy,auto,100.0,Colors Cineplex,dishtv.in,158146
yes,ColorsCineplex.in@SD,COLORS CINEPLEX [IN-UK],sktech,auto,100.0,Colors Cineplex,dishtv.in,158146
yes,ColorsCineplexBollywood.in@SD,Colors Cineplex Bollywood,meowfy,auto,100.0,Colors Cineplex Bollywood,dishtv.in,142749
yes,ColorsCineplexBollywood.in@SD,COLORS CINEPLEX BOLLYWOOD [IN],sktech,auto,100.0,Colors Cineplex Bollywood,dishtv.in,142749
yes,ColorsCineplexSuperhits.in@SD,Colors Cineplex Superhit,meowfy,auto,98.0,Colors Cineplex Superhits,dishtv.in,142750
yes,ColorsGujarati.in@SD,Colors Gujarati,meowfy,auto,100.0,Colors Gujarati,dishtv.in,158148
yes,ColorsGujarati.in@SD,COLORS GUJRATI [IN-UK],sktech,auto,96.6,Colors Gujarati,dishtv.in,158148
yes,ColorsGujaratiCinema.in@SD,Colors Gujarati Cinema,meowfy,auto,100.0,Colors Gujarati Cinema,dishtv.in,142751
yes,ColorsInfinity.in@SD,Colors Infinity HD,meowfy,auto,100.0,Colors Infinity,dishtv.in,157578
yes,ColorsInfinity.in@SD,Colors Infinity SD,meowfy,auto,100.0,Colors Infinity,dishtv.in,157578
yes,ColorsInfinity.in@SD,COLORS INFINITY FHD [IN],sktech,auto,100.0,Colors Infinity,dishtv.in,157578
yes,ColorsKannada.in@SD,Colors Kannada HD,meowfy,auto,100.0,Colors Kannada,dishtv.in,157579
